2009-11-25 01:40:47 startup archives install
2009-11-25 01:40:47 install base-passwd <none> 3.5.20
2009-11-25 01:40:47 status half-installed base-passwd 3.5.20
2009-11-25 01:40:47 status unpacked base-passwd 3.5.20
2009-11-25 01:40:47 status unpacked base-passwd 3.5.20
2009-11-25 01:40:47 install base-files <none> 5lenny4
2009-11-25 01:40:47 status half-installed base-files 5lenny4
2009-11-25 01:40:47 status unpacked base-files 5lenny4
2009-11-25 01:40:47 status unpacked base-files 5lenny4
2009-11-25 01:40:47 configure base-passwd 3.5.20 3.5.20
2009-11-25 01:40:47 status unpacked base-passwd 3.5.20
2009-11-25 01:40:47 status half-configured base-passwd 3.5.20
2009-11-25 01:40:47 status installed base-passwd 3.5.20
2009-11-25 01:40:47 configure base-files 5lenny4 5lenny4
2009-11-25 01:40:47 status unpacked base-files 5lenny4
2009-11-25 01:40:47 status unpacked base-files 5lenny4
2009-11-25 01:40:47 status unpacked base-files 5lenny4
2009-11-25 01:40:47 status unpacked base-files 5lenny4
2009-11-25 01:40:47 status unpacked base-files 5lenny4
2009-11-25 01:40:47 status half-configured base-files 5lenny4
2009-11-25 01:40:48 status installed base-files 5lenny4
2009-11-25 01:40:48 startup archives install
2009-11-25 01:40:48 upgrade dpkg 1.14.25 1.14.25
2009-11-25 01:40:48 status half-configured dpkg 1.14.25
2009-11-25 01:40:48 status unpacked dpkg 1.14.25
2009-11-25 01:40:48 status half-installed dpkg 1.14.25
2009-11-25 01:40:48 status half-installed dpkg 1.14.25
2009-11-25 01:40:48 status unpacked dpkg 1.14.25
2009-11-25 01:40:48 status unpacked dpkg 1.14.25
2009-11-25 01:40:48 configure dpkg 1.14.25 1.14.25
2009-11-25 01:40:48 status unpacked dpkg 1.14.25
2009-11-25 01:40:48 status unpacked dpkg 1.14.25
2009-11-25 01:40:48 status unpacked dpkg 1.14.25
2009-11-25 01:40:48 status unpacked dpkg 1.14.25
2009-11-25 01:40:48 status unpacked dpkg 1.14.25
2009-11-25 01:40:48 status half-configured dpkg 1.14.25
2009-11-25 01:40:48 status installed dpkg 1.14.25
2009-11-25 01:40:48 startup archives install
2009-11-25 01:40:49 install libc6 <none> 2.7-18
2009-11-25 01:40:49 status half-installed libc6 2.7-18
2009-11-25 01:40:50 status unpacked libc6 2.7-18
2009-11-25 01:40:50 status unpacked libc6 2.7-18
2009-11-25 01:40:50 configure libc6 2.7-18 2.7-18
2009-11-25 01:40:50 status unpacked libc6 2.7-18
2009-11-25 01:40:50 status unpacked libc6 2.7-18
2009-11-25 01:40:50 status unpacked libc6 2.7-18
2009-11-25 01:40:50 status unpacked libc6 2.7-18
2009-11-25 01:40:50 status unpacked libc6 2.7-18
2009-11-25 01:40:50 status unpacked libc6 2.7-18
2009-11-25 01:40:50 status half-configured libc6 2.7-18
2009-11-25 01:40:50 status installed libc6 2.7-18
2009-11-25 01:40:50 startup archives install
2009-11-25 01:40:50 install perl-base <none> 5.10.0-19lenny2
2009-11-25 01:40:50 status half-installed perl-base 5.10.0-19lenny2
2009-11-25 01:40:51 status unpacked perl-base 5.10.0-19lenny2
2009-11-25 01:40:51 status unpacked perl-base 5.10.0-19lenny2
2009-11-25 01:40:51 configure perl-base 5.10.0-19lenny2 5.10.0-19lenny2
2009-11-25 01:40:51 status unpacked perl-base 5.10.0-19lenny2
2009-11-25 01:40:51 status half-configured perl-base 5.10.0-19lenny2
2009-11-25 01:40:51 status installed perl-base 5.10.0-19lenny2
2009-11-25 01:40:51 startup archives install
2009-11-25 01:40:51 install mawk <none> 1.3.3-11.1
2009-11-25 01:40:51 status half-installed mawk 1.3.3-11.1
2009-11-25 01:40:51 status unpacked mawk 1.3.3-11.1
2009-11-25 01:40:51 status unpacked mawk 1.3.3-11.1
2009-11-25 01:40:51 configure mawk 1.3.3-11.1 1.3.3-11.1
2009-11-25 01:40:51 status unpacked mawk 1.3.3-11.1
2009-11-25 01:40:51 status half-configured mawk 1.3.3-11.1
2009-11-25 01:40:51 status installed mawk 1.3.3-11.1
2009-11-25 01:40:51 startup archives install
2009-11-25 01:40:51 install debconf <none> 1.5.24
2009-11-25 01:40:51 status half-installed debconf 1.5.24
2009-11-25 01:40:52 status unpacked debconf 1.5.24
2009-11-25 01:40:52 status unpacked debconf 1.5.24
2009-11-25 01:40:52 configure debconf 1.5.24 1.5.24
2009-11-25 01:40:52 status unpacked debconf 1.5.24
2009-11-25 01:40:52 status unpacked debconf 1.5.24
2009-11-25 01:40:52 status unpacked debconf 1.5.24
2009-11-25 01:40:52 status unpacked debconf 1.5.24
2009-11-25 01:40:52 status half-configured debconf 1.5.24
2009-11-25 01:40:52 status installed debconf 1.5.24
2009-11-25 01:40:52 startup archives unpack
2009-11-25 01:40:52 install gcc-4.3-base <none> 4.3.2-1.1
2009-11-25 01:40:52 status half-installed gcc-4.3-base 4.3.2-1.1
2009-11-25 01:40:52 status unpacked gcc-4.3-base 4.3.2-1.1
2009-11-25 01:40:53 status unpacked gcc-4.3-base 4.3.2-1.1
2009-11-25 01:40:53 install libgcc1 <none> 1:4.3.2-1.1
2009-11-25 01:40:53 status half-installed libgcc1 1:4.3.2-1.1
